id,cve_ent,turno,tipo,esp_3,esp_6,n_eval_3,n_eval_6
38774,15,MATUTINO,GENERAL,685,574,4,8
38775,15,VESPERTINO,GENERAL,519,442,16,21
38776,15,VESPERTINO,GENERAL,671,464,24,23
38777,15,VESPERTINO,GENERAL,504,540,47,28
38778,15,VESPERTINO,GENERAL,495,472,25,27
38779,15,VESPERTINO,GENERAL,549,591,14,12
38780,15,VESPERTINO,GENERAL,551,575,20,28
38781,15,MATUTINO,GENERAL,489,412,12,8
38782,15,MATUTINO,GENERAL,479,533,6,7
38783,15,MATUTINO,GENERAL,539,468,7,7
38784,15,MATUTINO,GENERAL,507,510,22,32
38785,15,MATUTINO,GENERAL,508,539,80,66
38786,15,MATUTINO,GENERAL,535,646,49,44
38787,15,MATUTINO,GENERAL,539,532,142,144
38788,15,MATUTINO,GENERAL,497,487,17,21
38789,15,MATUTINO,GENERAL,550,542,81,68
38790,15,MATUTINO,GENERAL,475,448,20,20
38791,15,MATUTINO,GENERAL,569,520,63,52
38792,15,MATUTINO,GENERAL,486,520,28,33
38793,15,MATUTINO,GENERAL,540,611,28,22
38794,15,MATUTINO,GENERAL,509,535,30,18
38795,15,MATUTINO,GENERAL,531,572,32,37
38796,15,MATUTINO,GENERAL,616,497,22,25
38797,15,VESPERTINO,GENERAL,538,529,38,50
38798,15,MATUTINO,GENERAL,541,500,12,10
38799,15,MATUTINO,GENERAL,495,499,168,172
38800,15,MATUTINO,GENERAL,577,548,47,54
38801,15,MATUTINO,GENERAL,467,509,26,23
38802,15,MATUTINO,GENERAL,562,466,46,38
38803,15,MATUTINO,GENERAL,573,560,51,52
38804,15,MATUTINO,GENERAL,682,585,37,30
38805,15,MATUTINO,GENERAL,483,524,101,69
38806,15,MATUTINO,GENERAL,516,504,95,83
38807,15,MATUTINO,GENERAL,502,492,61,61
38808,15,MATUTINO,GENERAL,563,522,25,30
38809,15,MATUTINO,GENERAL,497,377,5,4
38810,15,MATUTINO,GENERAL,493,473,8,9
38811,15,MATUTINO,GENERAL,547,542,27,30
38812,15,MATUTINO,GENERAL,432,572,3,3
38813,15,MATUTINO,GENERAL,561,460,12,12
38814,15,MATUTINO,GENERAL,571,597,10,10
38815,15,MATUTINO,GENERAL,563,560,24,20
38816,15,MATUTINO,GENERAL,513,468,3,5
38817,15,MATUTINO,GENERAL,512,494,31,29
38818,15,MATUTINO,GENERAL,601,468,3,7
38819,15,MATUTINO,GENERAL,538,542,10,10
38820,15,MATUTINO,GENERAL,550,540,6,4
38821,15,MATUTINO,GENERAL,494,414,28,21
38822,15,MATUTINO,GENERAL,539,468,24,28
38823,15,MATUTINO,GENERAL,518,548,16,21
38824,15,MATUTINO,GENERAL,432,492,15,15
38825,15,MATUTINO,GENERAL,467,448,15,8
38826,15,MATUTINO,GENERAL,486,492,11,6
38827,15,MATUTINO,GENERAL,597,487,18,19
38828,15,MATUTINO,GENERAL,566,493,18,20
38829,15,MATUTINO,GENERAL,479,544,11,6
38830,15,MATUTINO,GENERAL,542,490,13,5
38831,15,MATUTINO,GENERAL,514,507,23,30
38832,15,MATUTINO,GENERAL,588,505,24,22
38833,15,MATUTINO,GENERAL,472,465,14,13
38834,15,MATUTINO,GENERAL,536,524,21,12
38835,15,MATUTINO,GENERAL,585,585,56,47
38836,15,MATUTINO,GENERAL,612,525,46,37
38837,15,VESPERTINO,GENERAL,528,505,60,62
38838,15,MATUTINO,GENERAL,591,466,22,20
38839,15,MATUTINO,GENERAL,567,592,35,22
38840,15,MATUTINO,GENERAL,547,482,27,32
38841,15,MATUTINO,GENERAL,437,471,16,18
38842,15,MATUTINO,GENERAL,466,505,26,45
38843,15,MATUTINO,GENERAL,425,503,11,12
38844,15,MATUTINO,GENERAL,514,523,6,6
38845,15,MATUTINO,GENERAL,586,498,8,9
38846,15,MATUTINO,GENERAL,632,611,68,72
38847,15,MATUTINO,GENERAL,476,570,33,33
38848,15,MATUTINO,GENERAL,494,450,21,33
38849,15,VESPERTINO,GENERAL,497,508,23,40
38850,15,MATUTINO,GENERAL,544,498,50,53
38851,15,MATUTINO,GENERAL,533,535,99,91
38852,15,MATUTINO,GENERAL,643,570,70,51
38853,15,MATUTINO,GENERAL,516,540,71,72
38854,15,MATUTINO,GENERAL,457,553,19,18
38855,15,MATUTINO,GENERAL,521,528,98,101
38856,15,MATUTINO,GENERAL,570,544,19,19
38857,15,MATUTINO,GENERAL,638,677,23,18
