estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0309K,GENERAL,418.25,17,BAJO
AGUASCALIENTES,01DPR0310Z,GENERAL,514.95,53,BAJO
AGUASCALIENTES,01DPR0311Z,GENERAL,425.13,35,MEDIO
AGUASCALIENTES,01DPR0312Y,GENERAL,458.94,34,BAJO
AGUASCALIENTES,01DPR0313X,GENERAL,485.57,18,ALTO
AGUASCALIENTES,01DPR0314W,GENERAL,671.68,19,MEDIO
AGUASCALIENTES,01DPR0315V,GENERAL,431.46,12,BAJO
AGUASCALIENTES,01DPR0316U,GENERAL,505.37,20,MEDIO
AGUASCALIENTES,01DPR0317T,GENERAL,545.43,17,BAJO
AGUASCALIENTES,01DPR0319R,GENERAL,428.71,18,BAJO
AGUASCALIENTES,01DPR0320G,GENERAL,467.33,11,BAJO
AGUASCALIENTES,01DPR0321F,GENERAL,610.62,21,BAJO
AGUASCALIENTES,01DPR0322E,GENERAL,561.4,20,MEDIO
AGUASCALIENTES,01DPR0323D,GENERAL,472.92,19,MEDIO
AGUASCALIENTES,01DPR0324C,GENERAL,506.85,40,BAJO
AGUASCALIENTES,01DPR0325B,GENERAL,420.92,4,MUY BAJO
AGUASCALIENTES,01DPR0326A,GENERAL,526.41,8,MUY BAJO
AGUASCALIENTES,01DPR0327Z,GENERAL,636.14,1,BAJO
AGUASCALIENTES,01DPR0328Z,GENERAL,529.61,65,MEDIO
AGUASCALIENTES,01DPR0329Y,GENERAL,514.99,47,MUY BAJO
AGUASCALIENTES,01DPR0330N,GENERAL,385.35,12,ALTO
AGUASCALIENTES,01DPR0331M,GENERAL,528.92,15,MEDIO
AGUASCALIENTES,01DPR0332L,GENERAL,449,52,MUY BAJO
AGUASCALIENTES,01DPR0333K,GENERAL,520.02,34,MUY BAJO
AGUASCALIENTES,01DPR0334J,GENERAL,513.19,10,BAJO
AGUASCALIENTES,01DPR0335I,GENERAL,484.96,62,MUY BAJO
AGUASCALIENTES,01DPR0336H,GENERAL,588.39,13,BAJO
AGUASCALIENTES,01DPR0337G,GENERAL,620.16,10,BAJO
AGUASCALIENTES,01DPR0338F,GENERAL,622.58,8,BAJO
AGUASCALIENTES,01DPR0339E,GENERAL,494.63,32,BAJO
AGUASCALIENTES,01DPR0340U,GENERAL,534.4,15,BAJO
AGUASCALIENTES,01DPR0341T,GENERAL,685.04,26,BAJO
AGUASCALIENTES,01DPR0342S,GENERAL,484.08,3,BAJO
AGUASCALIENTES,01DPR0343R,GENERAL,515.6,54,MUY BAJO
AGUASCALIENTES,01DPR0346O,GENERAL,488.81,42,MUY BAJO
AGUASCALIENTES,01DPR0347N,GENERAL,488.6,30,MUY BAJO
AGUASCALIENTES,01DPR0348M,GENERAL,473.63,18,BAJO
AGUASCALIENTES,01DPR0349L,GENERAL,540.42,31,MEDIO
AGUASCALIENTES,01DPR0350A,GENERAL,530.24,59,BAJO
AGUASCALIENTES,01DPR0351Z,GENERAL,607.62,91,MUY BAJO
AGUASCALIENTES,01DPR0352Z,GENERAL,585.59,94,MUY BAJO
AGUASCALIENTES,01DPR0353Y,GENERAL,529.07,37,MUY BAJO
AGUASCALIENTES,01DPR0354X,GENERAL,442.74,58,MUY BAJO
AGUASCALIENTES,01DPR0356V,GENERAL,585.33,68,MUY BAJO
AGUASCALIENTES,01DPR0358T,GENERAL,435.45,26,MEDIO
AGUASCALIENTES,01DPR0359S,GENERAL,557.49,10,MEDIO
AGUASCALIENTES,01DPR0360H,GENERAL,604.4,78,MUY BAJO
AGUASCALIENTES,01DPR0361G,GENERAL,624.08,53,MUY BAJO
AGUASCALIENTES,01DPR0362F,GENERAL,581.51,76,MUY BAJO
AGUASCALIENTES,01DPR0363E,GENERAL,586.28,43,MUY BAJO
AGUASCALIENTES,01DPR0364D,GENERAL,537,13,BAJO
AGUASCALIENTES,01DPR0366B,GENERAL,680.23,68,MUY BAJO
AGUASCALIENTES,01DPR0367A,GENERAL,463.45,20,BAJO
AGUASCALIENTES,01DPR0368Z,GENERAL,629.62,78,MUY BAJO
AGUASCALIENTES,01DPR0369Z,GENERAL,695.63,78,MUY BAJO
AGUASCALIENTES,01DPR0371N,GENERAL,463.77,18,MUY BAJO
AGUASCALIENTES,01DPR0372M,GENERAL,421.7,13,ALTO
AGUASCALIENTES,01DPR0373L,GENERAL,653.69,40,MUY BAJO
